[13:16:07 06/23/16] INFO  -  id:552 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_15.jpg
[13:16:07 06/23/16] INFO  -  id:553 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_16.jpg
[13:16:07 06/23/16] INFO  -  id:554 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_17.jpg
[13:16:07 06/23/16] INFO  -  id:555 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/7/ name:7_18.jpg
[13:19:49 06/23/16] INFO  - LOG INITIALISED
[13:20:17 06/23/16] INFO  - RetrieveServer ## id=9b4700fdec3742b2#pi=1#pn=10#word=北京#
[13:20:17 06/23/16] INFO  - status 1
[13:20:17 06/23/16] INFO  -  id:68 path:116.385495_39.871177 name:北京南站
[13:20:17 06/23/16] INFO  -  id:69 path:116.327764_39.900515 name:北京西站
[13:20:17 06/23/16] INFO  -  id:70 path:116.433737_39.909780 name:北京站
[13:20:17 06/23/16] INFO  -  id:82 path:116.385495_39.871177 name:北京南站
[13:20:17 06/23/16] INFO  -  id:83 path:116.385495_39.871177 name:北京西站
[13:20:17 06/23/16] INFO  -  id:84 path:116.433737_39.909780 name:北京站
[13:20:17 06/23/16] INFO  - RetrieveServer ## id=2710d3ede33a4e2a#pi=1#pn=10#word=北京南站#
[13:20:17 06/23/16] INFO  - status 1
[13:20:17 06/23/16] INFO  -  id:130 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_1.JPG
[13:20:17 06/23/16] INFO  -  id:131 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_2.png
[13:20:17 06/23/16] INFO  -  id:132 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_3.JPG
[13:20:17 06/23/16] INFO  -  id:133 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_4.JPG
[13:20:17 06/23/16] INFO  -  id:134 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_5.JPG
[13:20:17 06/23/16] INFO  -  id:135 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_6.JPG
[13:20:17 06/23/16] INFO  -  id:136 path:/opt/tomcat/webapps/targetreg/admindata/remote_test/12/ name:12_7.JPG
[13:20:17 06/23/16] INFO  -  id:463 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_1.jpg
[13:20:17 06/23/16] INFO  -  id:464 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_10.jpg
[13:20:17 06/23/16] INFO  -  id:465 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_11.jpg
[13:20:17 06/23/16] INFO  -  id:466 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_12.jpg
[13:20:17 06/23/16] INFO  -  id:467 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_13.jpg
[13:20:17 06/23/16] INFO  -  id:468 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_14.jpg
[13:20:17 06/23/16] INFO  -  id:469 path:/opt/tomcat/webapps/targetreg/admindata/photo_test/5/ name:5_15.jpg
